Location;Median_Price_2023
MONT ALBERT NORTH;1751500
MONTMORENCY;1173500
MONTROSE;767500
MOONEE PONDS;1065000
MOORABBIN;1312500
MOOROOLBARK;770500
MOOROOPN/A;385000
MORDIALLOC;1355000
MORNINGTON;1050000
MORTLAKE;362500
MORWELL;315000
MOUNT BEAUTY;455000
MOUNT CLEAR;500000
MOUNT DANDENONG;750000
MOUNT DUNEED;684500
MOUNT EGERTON;540000
MOUNT ELIZA;1782500
MOUNT EVELYN;795000
MOUNT HELEN;610500
MOUNT MACEDON;1216000
MOUNT MARTHA;1685000
MOUNT PLEASANT;560000
MOUNT WAVERLEY;1407000
MULGRAVE;933000
MURCHISON;410000
MURRUMBEEN/A;1840000
MURTOA;258500
MYRTLEFORD;622000
N/AGAMBIE;680000
N/AR N/AR GOON;N/A
N/ARRE WARREN;708000
N/ARRE WARREN NORTH;1677500
N/ARRE WARREN SOUTH;790000
N/ATHALIA;375000
N/ATIMUK;272500
NEERIM SOUTH;707500
NELSON;N/A
NERRIN/A;670000
NEW GISBORNE;895000
NEWBOROUGH;375000
NEWCOMB;544000
NEWHAVEN;550000
NEWINGTON;835000
NEWLANDS ARM;565000
NEWPORT;1297500
NEWSTEAD;650000
NEWTOWN (GREATER GEELONG);1061000
NHILL;232500
NICHOLS POINT;690000
NIDDRIE;903000
NOBLE PARK;709000
NOBLE PARK NORTH;730000
NORLANE;460000
NORTH BENDIGO;532500
NORTH GEELONG;560000
NORTH MELBOURNE;1080000
NORTH SHORE;1232500
NORTH WONTHAGGI;661500
NORTHCOTE;1690000
NOTTING HILL;1200000
NUMURKAH;400000
NUN/AWADING;1100000
NYAH WEST;266500
OAK PARK;840500
OAKLEIGH;1525000
OAKLEIGH EAST;884000
OAKLEIGH SOUTH;1046000
OCEAN GROVE;1012500
OFFICER;700000
OFFICER SOUTH;855000
OLINDA;809500
OMEO;320000
ORBOST;350000
ORMOND;1636000
OSBORNE;1012500
OUYEN;215000
PAKENHAM;638000
PARADISE BEACH;N/A
PARK ORCHARDS;1729000
PARKDALE;1251500
PARKVILLE;2500000
PASCOE VALE;897500
PASCOE VALE SOUTH;1085000
PATTERSON GARDENS;865000
PATTERSON LAKES;1361000
PAYNESVILLE;516000
PEARCEDALE;695000
PENSHURST;245000
PETERBOROUGH;N/A
PIONEER BAY;482500
PLENTY;1850000
POINT COOK;750000
POINT LONSDALE;1847500
POOWONG;610000
POREPUNKAH;935000
PORT ALBERT;610000
PORT FAIRY;1075000
PORT MELBOURNE;1735000
PORT WELSHPOOL;N/A
PORTARLINGTON;900000
PORTLAND;432500
PORTLAND NORTH;750000
PORTSEA;3500000
PRAHRAN;1540000
PRESTON;1079000
PRINCES HILL;1620000
PYRAMID HILL;210000
QUAMBATOOK;295000
QUARRY HILL;538500
QUEENSCLIFF;776000
RAINBOW;152500
RAWSON;295000
RAYMOND ISLAND;505000
RED CLIFFS;334000
RED HILL;N/A
REDAN;440000
RESEARCH;N/A
RESERVOIR;815000
RHYLL;737500
RICHMOND;1340000
RIDDELLS CREEK;757500
RINGWOOD;1047500
RINGWOOD EAST;1025000
RINGWOOD NORTH;980000
RIPPLESIDE;749000
RIPPONLEA;1747500
ROBINVALE;280000
ROCHESTER;250000
ROCKBANK;620000
ROMSEY;757500
ROSANN/A;1170000
ROSEBUD;710500
ROSEBUD SOUTH;1110000
ROSEDALE;371500
ROWVILLE;1050000
ROXBURGH PARK;670000
RUPANYUP;128000
RUSHWORTH;272500
RUTHERGLEN;595000
RYE;1055000
SAFETY BEACH;1340000
SAILORS GULLY;457500
SALE;450000
SAN REMO;1040000
SANCTUARY LAKES;723000
SANDHURST;929000
SANDRINGHAM;2090500
SANDY POINT;805000
SASSAFRAS;N/A
SAWMILL SETTLEMENT;550000
SCORESBY;895000
SEA LAKE;99500
SEABROOK;750000
SEAFORD;796500
SEAHOLME;N/A
SEASPRAY;472500
SEBASTOPOL;460000
SEDDON;1215000
SELBY;627500
SEVILLE;940000
SEVILLE EAST;907500
SEYMOUR;520000
SHEPPARTON;450000
SHEPPARTON NORTH;N/A
SHOREHAM;1483500
SILVERLEAVES;1150000
SKENES CREEK;1155000
SKIPTON;320000
SKYE;730500
SMITHS BEACH;1075000
SMYTHES CREEK;N/A
SMYTHESDALE;532500
SOLDIERS HILL;625000
SOMERS;1542500
SOMERVILLE;750000
SORRENTO;2262500
SOUTH GEELONG;850000
SOUTH KINGSVILLE;N/A
SOUTH MELBOURNE;2045000
SOUTH MORANG;710000
SOUTH YARRA;2700000
SPOTSWOOD;1360000
SPRING GULLY;580000
SPRINGVALE;832000
SPRINGVALE SOUTH;771000
ST ALBANS;650000
ST ALBANS PARK;587500
ST ANDREWS BEACH;1550000
ST ARN/AUD;272500
ST HELEN/A;1134000
ST KILDA;1116500
ST KILDA EAST;1314000
ST KILDA WEST;4000000
ST LEON/ARDS;765000
STANHOPE;397000
STAWELL;325000
STRATFORD;504000
STRATHDALE;765000
STRATHFIELDSAYE;685000
STRATHMERTON;320000
STRATHMORE;1200000
STRATHMORE HEIGHTS;1102500
STRATHTULLOH;593000
STUDFIELD;1280000
SUNBURY;637500
SUNDERLAND BAY;642500
SUNNYCLIFFS;382500
SUNSET STRIP;737000
SUNSHINE;695000
SUNSHINE NORTH;730000
SUNSHINE WEST;638000
SURF BEACH;799000
SURREY HILLS;2270000
SWAN HILL;412000
SWAN REACH;653000
SYDENHAM;700000
SYNDAL;1400000
TALLANGATTA;401500
TANGAMBALANGA;416000
TARNEIT;651000
TATURA;460000
TAWONGA;N/A
TAWONGA SOUTH;640000
TAYLORS HILL;897500
TAYLORS LAKES;820000
TECOMA;737500
TEMPLESTOWE;1450000
TEMPLESTOWE LOWER;1580000
TERANG;401500
THE BASIN;857000
THE HONEYSUCKLES;592500
THE PATCH;N/A
THOMASTOWN;680000
THOMSON (GREATER GEELONG);552000
THORNBURY;1250000
THORNHILL PARK;632500
TIMBOON;558000
TONGALA;440000
TOONGABBIE;557500
TOORA;460000
TOORADIN;810000
TOORAK;3930000
TOOTGAROOK;825000
TORQUAY;1300000
TRAFALGAR;455000
TRARALGON;449000
TRARALGON EAST;785000
TRAVANCORE;900000
TRENTHAM;640000
TRUGANIN/A;625000
TULLAMARINE;730000
TYABB;745000
UNDERBOOL;N/A
UPPER FERNTREE GULLY;723000
UPWEY;810000
VENTNOR;865000
VENUS BAY;590000
VERMONT;1200000
VERMONT SOUTH;1525000
VIEWBANK;1083000
VIOLET TOWN;530000
WAHGUNYAH;625000
WALKERVILLE;863500
WALLAN;600000
WALLAN EAST;563500
WANDAN/A HEIGHTS;932500
WANDIN NORTH;850000
WANDONG;775000
WANGARATTA;460000
WANTIRN/A;1053000
WANTIRN/A SOUTH;1210000
WARBURTON;742500
WARNEET;651000
WARRACKN/ABEAL;235000
WARRAGUL;616500
WARRANDYTE;1380000
WARRANWOOD;1152500
WARRN/AMBOOL;595000
WATERWAYS;1275000
WATSONIA;751000
WATSONIA NORTH;872000
WATTLE GLEN;N/A
WAURN PONDS;752000
WEDDERBURN;357500
WEIR VIEWS;576000
WELSHPOOL;N/A
WENDOUREE;470000
WENDOUREE WEST;365000
WERRIBEE;587000
WERRIBEE SOUTH;856000
WESBURN;707500
WEST BENDIGO;370000
WEST FOOTSCRAY;915000
WEST MELBOURNE;1055000
WEST WODONGA;549000
WESTALL;842500
WESTGARTH;1900000
WESTMEADOWS;670000
WHEELERS HILL;1524000
WHITE HILLS;460000
WHITTINGTON;535000
WHITTLESEA;712500
WILLIAMS LANDING;812500
WILLIAMSTOWN;1390000
WILLIAMSTOWN NORTH;N/A
WILLOW GROVE;N/A
WIMBLEDON HEIGHTS;620000
WINCHELSEA;560000
WINDSOR;1399000
WINTER VALLEY;582500
WODONGA;497500
WOLLERT;661000
WONGA PARK;1140000
WONTHAGGI;577500
WOODEND;865000
WOOLAMAI WATERS;750500
WOORI YALLOCK;622500
WURRUK;405000
WY YUNG;431500
WYCHEPROOF;218000
WYNDHAM VALE;555000
YACKANDANDAH;635000
YALLAMBIE;925500
YALLOURN NORTH;347500
YARRA GLEN;781500
YARRA JUNCTION;693000
YARRAGON;697500
YARRAM;387500
YARRAVILLE;1070000
YARRAWONGA;591000
YEA;420000
YINN/AR;587500
