Year;School;Location;Median_VCE_Score
2023;Ruyton Girls School;Kew;37
2023;Sacre Coeur;Glen Iris;36
2023;Sacred Heart College Geelong;Newtown;32
2023;Sacred Heart College Kyneton;Kyneton;29
2023;Sacred Heart College Yarrawonga;Yarrawonga;27
2023;Sacred Heart Girls College;Hughesdale;32
2023;Saint Ignatius College;Drysdale;30
2023;Sale College;Sale;26
2023;Salesian College Chadstone;Chadstone;32
2023;Salesian College Sunbury;Sunbury;28
2023;Sandringham College;Sandringham;30
2023;Santa Maria College;Northcote;30
2023;Scoresby Secondary College;Scoresby;27
2023;Scotch College;Hawthorn;34
2023;SEDA College;Hawthorn East;0
2023;Seymour College;Seymour;25
2023;Shelford Girls Grammar;Caulfield;34
2023;Shepparton Adult and Community Education;Shepparton;0
2023;Shepparton Christian College;Shepparton;26
2023;Sherbrooke Community School;Sassafras;26
2023;Siena College;Camberwell;34
2023;Simonds Catholic College;Fitzroy North;28
2023;Sirius College Broadmeadows Campus;Broadmeadows;31
2023;Sirius College Dandenong Campus;Keysborough;30
2023;Sirius College Ibrahim Dellal Campus Sunshine;Sunshine West;31
2023;Sirius College Meadow Fair Campus;Broadmeadows;30
2023;Somerville Secondary College;Somerville;28
2023;South Oakleigh Secondary College;Oakleigh South;29
2023;South West Institute of TAFE;Warrnambool;0
2023;Southern Cross Grammar;Caroline Springs;31
2023;Springside West Secondary College;Fraser Rise;27
2023;Springvale Indo-Chinese Ethnic School Inc.;Springvale South;N/A
2023;St Albans Secondary College;St Albans;31
2023;St Aloysius College;North Melbourne;30
2023;St Andrews Christian College;Wantirna South;32
2023;St Annes College;Kialla;26
2023;St Arnaud Secondary College;St Arnaud;28
2023;St Augustines College;Kyabram;29
2023;St Bedes College;Mentone;31
2023;St Bernards College;Essendon;30
2023;St Brigids College;Horsham;27
2023;St Catherines School;Toorak;36
2023;St Columbas College;Essendon;31
2023;St Francis Catholic College;Melton West;N/A
2023;St Francis Xavier College;Beaconsfield;28
2023;St Helena Secondary College;Eltham North;29
2023;St Johns Greek Orthodox College;Preston;28
2023;St Johns Regional College;Dandenong;26
2023;St Josephs College Echuca;Echuca;29
2023;St Josephs College Ferntree Gully;Ferntree Gully;32
2023;St Josephs College Geelong;Newtown;30
2023;St Josephs College Mildura;Mildura;29
2023;St Kevins College;Toorak;35
2023;St Leonards College;Brighton East;35
2023;St Margarets Berwick Grammar Berwick Campus;Berwick;33
2023;St Margarets Berwick Grammar Officer Campus;Officer;33
2023;St Mary MacKillop College;Swan Hill;30
2023;St Mary of the Angels College;Nathalia;27
2023;St Marys College Melbourne;St Kilda East;31
2023;St Marys College Seymour;Seymour;0
2023;St Marys Coptic Orthodox College;Coolaroo;30
2023;St Michaels Grammar School;St Kilda;34
2023;St Monicas College;Epping;28
2023;St Patricks College;Ballarat;28
2023;St Pauls Anglican Grammar School;Warragul;31
2023;St Peters College;Cranbourne;26
2023;St Thomas Aquinas College;Tynong;27
2023;Star of the Sea College;Brighton;34
2023;Staughton College;Melton South;23
2023;Stawell Secondary College;Stawell;23
2023;Strathcona Girls Grammar School;Canterbury;35
2023;Strathmore Secondary College;Strathmore;30
2023;Sunbury College;Sunbury;27
2023;Sunbury Downs Secondary College;Sunbury;29
2023;Sunraysia Institute of TAFE;Mildura;0
2023;Sunshine College;Sunshine West;25
2023;Surf Coast Secondary College;Torquay;29
2023;Suzanne Cory High School;Werribee;35
2023;Swan Hill College;Swan Hill;28
2023;Swifts Creek P-12 School;Swifts Creek;31
2023;Swinburne Senior Secondary College;Hawthorn;27
2023;Swinburne University of Technology TAFE Croydon;Croydon;0
2023;Sydney Road Community School;Brunswick;0
2023;TAFE Gippsland;Morwell;26
2023;Tallangatta Secondary College;Tallangatta;26
2023;Tarneit Senior College;Tarneit;23
2023;Taylors Lakes Secondary College;Taylors Lakes;27
2023;Templestowe College;Templestowe Lower;29
2023;Terang College Secondary Campus;Terang;30
2023;The Geelong College;Newtown;33
2023;The Grange P-12 College;Hoppers Crossing;25
2023;The Hamilton and Alexandra College;Hamilton;30
2023;The King David School;Armadale;36
2023;The Knox School;Wantirna South;33
2023;The Lakes South Morang College;South Morang;24
2023;Theatre De La Danse;Brighton;N/A
2023;Thomas Carr College;Tarneit;26
2023;Thomas Carr College Hailiang Foreign Language School;Zhejiang, China;N/A
2023;Thomas Carr College Wenzhou No 21 Middle School;Wenzhou, China;N/A
2023;Thomastown Secondary College;Thomastown;25
2023;Thornbury High School;Thornbury;31
2023;Timboon P-12 School;Timboon;28
2023;Tintern Grammar;Ringwood East;33
2023;Toorak College;Mount Eliza;34
2023;Trafalgar High School;Trafalgar;27
2023;Traralgon College;Traralgon;25
2023;Trinity College;Colac;28
2023;Trinity Grammar School;Kew;35
2023;Trinity Lutheran College;Mildura;0
2023;Tyrrell College;Sea Lake;25
2023;University High School;Parkville;31
2023;Upper Yarra Secondary College;Yarra Junction;25
2023;Upwey High School;Upwey;27
2023;Vermont Secondary College;Vermont;32
2023;Victoria University Polytechnic;Footscray;0
2023;Victoria University Secondary College Cairnlea Campus;St Albans;29
2023;Victorian College for the Deaf;Melbourne;24
2023;Victorian College of the Arts Secondary School;Southbank;31
2023;Victorian Tamil Association;Glen Waverley;N/A
2023;Victorian Virtual Learning Network;Bendigo;N/A
2023;Victory Christian College;Strathdale;28
2023;Victory Lutheran College;Wodonga;28
2023;Viewbank College;Viewbank;31
2023;Village High School;Ryanston;0
2023;Virtual School Victoria;Thornbury;26
2023;VSL Altona North-Footscray-Sunshine-Ballarat;Thornbury;N/A
2023;VSL Box Hill-Blackburn-Doncaster;Thornbury;N/A
2023;VSL Brentwood-Keysborough-Mentone-Traralgon;Thornbury;N/A
2023;VSL Craigieburn-Hume Central-Keilor Downs-Taylors Lakes;Thornbury;N/A
2023;VSL Creekside-Melton;Thornbury;N/A
2023;VSL Dandenong-Hampton Park-Berwick;Thornbury;N/A
2023;VSL Distance Education;Thornbury;N/A
